region_id,hour,pop_sum
1,0,42715.58984
1,1,42566.73828
1,2,42586.42188
1,3,42668.51953
1,4,42891.03125
1,5,43887.76172
1,6,46246.37109
1,7,49096.05078
1,8,51238.67188
1,9,50705.21094
1,10,49749.23828
1,11,49605.78125
1,12,49425.60938
1,13,48933.21094
1,14,48741.60938
1,15,48241.17969
1,16,47880.75
1,17,48344.26172
1,18,48264.51953
1,19,48079.62109
1,20,47750.23828
1,21,46866.87109
1,22,45303.57031
1,23,43033.08984
2,0,7893.149902
2,1,7832.779785
2,2,7784.830078
2,3,7838.180176
2,4,7881.810059
2,5,8048.669922
2,6,8296.69043
2,7,8593.049805
2,8,8698.669922
2,9,8173.680176
2,10,7794.899902
2,11,7680.129883
2,12,7690.220215
2,13,7592.680176
2,14,7541.490234
2,15,7562.180176
2,16,7872.100098
2,17,8177.919922
2,18,8302.05957
2,19,8379.580078
2,20,8482.849609
2,21,8545.990234
2,22,8368.759766
2,23,8141.560059
3,0,11224.4502
3,1,11167.94043
3,2,11264
3,3,11294.87012
3,4,11385.55957
3,5,11845.94043
3,6,12578.11035
3,7,13226.16992
3,8,12672.92969
3,9,11682.54004
3,10,11145.96973
3,11,10874.58984
3,12,10727.87012
3,13,10434.41016
3,14,10211.83984
3,15,10314.87988
3,16,10567.54004
3,17,10816.34961
3,18,10986.90039
3,19,11022.41016
3,20,11341.99023
3,21,11642.70996
3,22,11409.12988
3,23,11213.26953
4,0,26359.99023
4,1,26007.08008
4,2,25791.96094
4,3,25686.03906
4,4,25668.76953
4,5,26226.68945
4,6,27447.58008
4,7,28703.24023
4,8,29294.16992
4,9,27552.57031
4,10,26480.34961
4,11,26562.65039
4,12,26587.7793
4,13,26279.23047
4,14,26057.65039
4,15,26043.17969
4,16,26833.66016
4,17,28356.38086
4,18,29267.96094
4,19,29109.00977
4,20,28820.5293
4,21,28362.16016
4,22,27657.38086
4,23,26692.74023
5,0,2398.73999
5,1,2338.580078
5,2,2339.649902
5,3,2360.919922
5,4,2348.52002
5,5,2375.679932
5,6,2529.320068
5,7,2914.060059
5,8,3616.25
5,9,3932.25
5,10,3986.229981
5,11,4023.669922
5,12,3981.530029
5,13,4006.159912
5,14,4035.919922
5,15,3995.449951
5,16,3880.030029
5,17,3806.340088
5,18,3247.300049
5,19,2928.5
5,20,2750.73999
5,21,2513.590088
5,22,2457.870117
5,23,2461.379883
6,0,6173.879883
6,1,6140.02002
6,2,6111.560059
6,3,6145.830078
6,4,6158.299805
6,5,6484.27002
6,6,7032.779785
6,7,7811.459961
6,8,9832.530273
6,9,10959.07031
6,10,11039.04004
6,11,10961.03027
6,12,10650.01953
6,13,10838.46973
6,14,10735.55957
6,15,10510.12988
6,16,10048.21973
6,17,9482.790039
6,18,8851.299805
6,19,8080.27002
6,20,7556
6,21,7147.450195
6,22,6721.640137
6,23,6384.290039
7,0,13456.83008
7,1,13351.17969
7,2,13279.94043
7,3,13304.79004
7,4,13284.25977
7,5,13604.12988
7,6,14139.55957
7,7,14492.21973
7,8,13815.40039
7,9,11885.38965
7,10,11320.08008
7,11,11489.08008
7,12,11738.70996
7,13,11702.66016
7,14,11381.16016
7,15,11416.91992
7,16,11689.46973
7,17,12638.5
7,18,13640.2002
7,19,14386.79004
7,20,14977.25
7,21,14886.25
7,22,14420.16992
7,23,13802.12012
8,0,30754.92969
8,1,30649.08008
8,2,30674.41992
8,3,30713
8,4,30886.41992
8,5,31551.26953
8,6,32616.56055
8,7,33005.01172
8,8,31590.83984
8,9,28902.69922
8,10,27690.58008
8,11,27513.73047
8,12,27425.01953
8,13,27070.2793
8,14,26715.55078
8,15,26725.93945
8,16,27499.31055
8,17,28724.50977
8,18,30313.66016
8,19,31644.25
8,20,32068.42969
8,21,32159.44922
8,22,31504.38086
8,23,30679.69922
9,0,29497.21094
9,1,29641.83984
9,2,29704.19922
9,3,29788.75977
9,4,30026.33008
9,5,30349.9707
9,6,30982.75977
9,7,30733.82031
9,8,28159.18945
9,9,23635.08984
9,10,21628.36914
9,11,21130.7793
9,12,20765.33008
9,13,20362.5293
9,14,20178.5
9,15,20339.31055
9,16,20778.55078
9,17,21822.26953
9,18,23816.46094
9,19,25673.98047
9,20,27160.16016
9,21,28493.41016
9,22,29301.01953
9,23,29006.2207
10,0,1440.160034
10,1,1384.410034
10,2,1404.52002
10,3,1378.329956
10,4,1408.880005
10,5,1475.280029
10,6,1542.859985
10,7,1665.880005
10,8,1630.25
10,9,1440.900024
10,10,1285.310059
10,11,1290.219971
10,12,1307.52002
10,13,1325.339966
10,14,1389.719971
10,15,1428.079956
10,16,1437.209961
10,17,1361.660034
10,18,1355.729981
10,19,1424.439941
10,20,1386.109985
10,21,1426.630005
10,22,1459.550049
10,23,1393.349976
11,0,4874.77002
11,1,4812.419922
11,2,4825.279785
11,3,4783.600098
11,4,4838.439941
11,5,4978.759766
11,6,5250.529785
11,7,5500.009766
11,8,5604.470215
11,9,5549.330078
11,10,5603.779785
11,11,5637.640137
11,12,5587.830078
11,13,5690.549805
11,14,5629.899902
11,15,5654.049805
11,16,5754.620117
11,17,5720.399902
11,18,5621.169922
11,19,5430.310059
11,20,5283.729981
11,21,5151.140137
11,22,4997.439941
11,23,4814.060059
12,0,4902.169922
12,1,4858.299805
12,2,4859.319824
12,3,4842.470215
12,4,4847.450195
12,5,4991.200195
12,6,5194.689941
12,7,5289.779785
12,8,5135.850098
12,9,4792.819824
12,10,4594.950195
12,11,4568.339844
12,12,4612.379883
12,13,4400.810059
12,14,4305.859863
12,15,4274.640137
12,16,4374.779785
12,17,4717.140137
12,18,5053.490234
12,19,5197.02002
12,20,5241.200195
12,21,5303.629883
12,22,5139.330078
12,23,4925.790039
13,0,15257
13,1,15218.40039
13,2,15255.40039
13,3,15270.92969
13,4,15318.61035
13,5,15720.33008
13,6,16193.91992
13,7,16656.58984
13,8,16026.45996
13,9,14347.67969
13,10,13714.95996
13,11,13708
13,12,13546.25977
13,13,13345.96973
13,14,13395.05957
13,15,13349.4502
13,16,13660.23047
13,17,14149.12988
13,18,14823.78027
13,19,15382.16016
13,20,15718.69043
13,21,15587.20996
13,22,15423.90039
13,23,15087.71973
14,0,16846.58984
14,1,16796.69922
14,2,16778.48047
14,3,16815.17969
14,4,16895.80078
14,5,17245.96094
14,6,17598.24023
14,7,17637.61914
14,8,16778.73047
14,9,15476.07031
14,10,14711.2002
14,11,14392.00977
14,12,14295.5
14,13,14118.37988
14,14,14010.7998
14,15,14192.98047
14,16,14427.05957
14,17,15416.96973
14,18,16243.87012
14,19,16823.36914
14,20,17129.4707
14,21,17085.33984
14,22,17041.39063
14,23,16667.13086
15,0,10235.87012
15,1,10236.98047
15,2,10234.17969
15,3,10281.2998
15,4,10361.46973
15,5,10499.87012
15,6,10855.30957
15,7,11412.16992
15,8,11785.38965
15,9,11704.07031
15,10,11650.62012
15,11,11509.83008
15,12,11357.99023
15,13,11107.75977
15,14,11289.58008
15,15,11330.0498
15,16,11461.83984
15,17,11448.50977
15,18,11287.70996
15,19,11117.08984
15,20,11008.37012
15,21,10850.17969
15,22,10594.16016
15,23,10255.04004
16,0,751.1900024
16,1,670.8400269
16,2,582.3200073
16,3,574.789978
16,4,601.6300049
16,5,627.9899902
16,6,737.6300049
16,7,852.1799927
16,8,1000.700012
16,9,993.6799927
16,10,1049.119995
16,11,1051.52002
16,12,1001.940002
16,13,971.0499878
16,14,931.0999756
16,15,969.8099976
16,16,942.789978
16,17,841.2299805
16,18,794.2600098
16,19,749.3800049
16,20,675.2700195
16,21,650.1699829
16,22,613.8300171
16,23,621.7199707
17,0,9868.839844
17,1,9898.30957
17,2,9883.669922
17,3,9963.05957
17,4,10130.90039
17,5,10618.73047
17,6,11192.87012
17,7,11660.08984
17,8,11186.04004
17,9,9756.75
17,10,9194.169922
17,11,9054.099609
17,12,8891.25
17,13,8661.410156
17,14,8582.19043
17,15,8693.740234
17,16,8957.320313
17,17,9320.089844
17,18,9807.929688
17,19,10143.98047
17,20,10319.94043
17,21,10262.99023
17,22,10217.76953
17,23,9963.969727
18,0,29263.44922
18,1,29192.26953
18,2,29259.43945
18,3,29289.5293
18,4,29375.46094
18,5,29929.18945
18,6,30658.80078
18,7,31341.93945
18,8,30128.2207
18,9,28424.30078
18,10,27815.89063
18,11,27764.82031
18,12,27620.18945
18,13,27539.42969
18,14,27394.39063
18,15,27612.90039
18,16,28810.75977
18,17,30084.38086
18,18,30930.01953
18,19,31450.5
18,20,31421.36914
18,21,31254.08008
18,22,30508.44922
18,23,29684.11914
19,0,16982.69922
19,1,17207.51953
19,2,17603.82031
19,3,17931.76953
19,4,18563.33984
19,5,18677.2207
19,6,18514.71094
19,7,18137.41016
19,8,17426.78906
19,9,16598.25
19,10,15897.25977
19,11,15707.46973
19,12,15454.2002
19,13,15266.65039
19,14,15203.55957
19,15,15291.2002
19,16,15519.98047
19,17,15686.62012
19,18,15952.7998
19,19,16323.61035
19,20,16424.74023
19,21,16777.94922
19,22,16950.92969
19,23,16567.32031
20,0,24768.57031
20,1,24999.01953
20,2,25189.23047
20,3,25273.93945
20,4,25443.33008
20,5,25932.86914
20,6,26842.10938
20,7,26775.08984
20,8,26095.73047
20,9,25188.53906
20,10,24998.42969
20,11,25572.60938
20,12,25894.63086
20,13,26269.64063
20,14,26604.40039
20,15,26928.58984
20,16,27105.94922
20,17,27340.01953
20,18,27648.21094
20,19,27996.75
20,20,27499.05078
20,21,26760.60938
20,22,25560.11914
20,23,24784.34961
21,0,45915.37109
21,1,45499.42188
21,2,45588.26172
21,3,45741.37891
21,4,45999.58984
21,5,47098.39844
21,6,49073.71875
21,7,51398.16016
21,8,51729.85156
21,9,48992.05078
21,10,47360.82813
21,11,46792.28125
21,12,46196.03906
21,13,45832.35156
21,14,45264.96875
21,15,45084.92969
21,16,45879.19922
21,17,46751.16016
21,18,47397.10156
21,19,48039.21094
21,20,47888.96094
21,21,48049.23828
21,22,47336.35156
21,23,46306.89063
22,0,451.8399963
22,1,433.0100098
22,2,438.6199951
22,3,422.2000122
22,4,439.4400024
22,5,476.3299866
22,6,617.289978
22,7,748.789978
22,8,747.8099976
22,9,685.5100098
22,10,696.3200073
22,11,688.960022
22,12,708.5100098
22,13,724.5700073
22,14,728.1599731
22,15,690.9400024
22,16,669.9899902
22,17,610.0999756
22,18,631.460022
22,19,623.5
22,20,522.9299927
22,21,501.6300049
22,22,484.5700073
22,23,479.1300049
23,0,986.7800293
23,1,876.5200195
23,2,843.5
23,3,868.2600098
23,4,956.8099976
23,5,1060.339966
23,6,1205.430054
23,7,1480.609985
23,8,1716.829956
23,9,1812.77002
23,10,1849.51001
23,11,1677.319946
23,12,1558.75
23,13,1716.729981
23,14,1645.969971
23,15,1532.859985
23,16,1481.199951
23,17,1295.619995
23,18,1141.390015
23,19,1091.949951
23,20,998.6900024
23,21,943.789978
23,22,875.460022
23,23,848.789978
24,0,956.8499756
24,1,904.2700195
24,2,889.7700195
24,3,892.2000122
24,4,950.5300293
24,5,995.9099731
24,6,1135.829956
24,7,1424.040039
24,8,1591.880005
24,9,1663.479981
24,10,1756.930054
24,11,1750.02002
24,12,1697.189941
24,13,1662.800049
24,14,1686.839966
24,15,1591.27002
24,16,1537.430054
24,17,1431.099976
24,18,1344.430054
24,19,1204.359985
24,20,1069.829956
24,21,991.1099854
24,22,936.9000244
24,23,874.539978
25,0,9031.5
25,1,9048.379883
25,2,9085.5
25,3,9078.450195
25,4,9137.799805
25,5,9115.269531
25,6,8883.610352
25,7,8435.110352
25,8,7513.350098
25,9,6795.220215
25,10,6531.390137
25,11,6607.779785
25,12,6674.140137
25,13,6672.089844
25,14,6665.160156
25,15,6865.470215
25,16,7058.040039
25,17,7667.729981
25,18,8177.390137
25,19,8575.639648
25,20,8938.839844
25,21,9072.379883
25,22,8883.040039
25,23,8823.070313
26,0,4422.009766
26,1,3925.139893
26,2,3608.48999
26,3,3630.77002
26,4,3894.340088
26,5,4292.069824
26,6,4701.339844
26,7,5002.040039
26,8,5108.390137
