clusterId,zoneId
1,1
1,410
1,465
1,466
1,206
1,450
1,336
1,402
1,320
1,405
1,341
1,392
1,419
1,446
1,322
1,383
1,396
1,399
1,408
1,451
1,216
1,307
1,325
1,335
1,350
1,463
1,376
1,400
1,312
1,352
1,321
1,368
1,467
1,348
1,375
1,468
1,397
1,6
1,355
1,218
1,387
1,227
1,295
1,203
1,204
1,210
1,378
1,211
1,212
1,358
1,214
1,225
1,245
1,342
1,228
1,247
1,120
1,185
1,162
1,421
1,137
1,414
1,181
1,152
1,183
1,404
1,431
1,409
1,432
1,437
1,445
1,444
1,488
1,449
1,459
1,474
1,455
1,477
1,483
1,973
1,317
1,480
1,461
1,490
1,470
1,479
1,987
1,475
1,492
1,411
1,439
1,624
1,447
1,472
1,460
1,732
1,487
1,491
1,448
1,707
1,712
1,486
1,501
1,727
1,708
1,751
1,529
1,717
1,985
1,694
1,977
1,698
1,544
1,711
1,739
1,740
1,750
1,709
1,983
1,974
1,584
1,959
1,713
1,737
1,710
1,716
1,726
1,730
1,970
2,2
2,14
2,12
2,199
2,195
2,202
2,8
2,217
2,13
2,380
2,201
2,373
2,382
2,20
2,391
2,208
2,393
2,250
2,379
2,386
2,107
2,193
2,176
2,215
2,381
2,4
2,207
2,190
2,221
2,224
2,398
2,222
2,357
2,361
2,110
2,223
2,394
2,362
2,395
2,220
2,385
2,401
2,311
2,339
2,3
2,72
2,67
2,17
2,213
2,359
2,27
2,196
2,68
2,78
2,94
2,9
2,77
2,113
2,90
2,88
2,197
2,92
2,191
2,32
2,74
2,50
2,188
2,66
2,83
2,69
2,71
2,7
2,65
2,18
2,59
2,80
2,25
2,76
2,30
2,51
2,10
2,91
2,64
2,102
2,79
2,82
2,187
2,56
2,81
2,73
2,101
3,5
3,55
3,22
3,16
3,23
3,24
3,11
3,15
3,29
3,26
3,34
3,31
3,42
3,39
3,57
3,38
3,52
3,60
3,40
3,54
3,33
3,37
3,86
3,35
3,41
3,44
3,53
3,19
3,75
3,89
3,93
3,95
3,99
3,97
3,28
3,46
3,48
3,87
3,96
3,100
3,21
3,180
3,115
3,200
3,209
3,182
3,186
3,198
3,103
3,135
3,194
3,106
3,117
3,205
3,36
3,43
3,49
3,98
3,45
3,58
3,61
3,47
3,70
3,62
3,63
3,84
4,85
4,118
4,123
4,192
4,122
4,170
4,125
4,129
4,168
4,127
4,136
4,143
4,155
4,145
4,169
4,130
4,165
4,154
4,131
4,149
4,151
4,173
4,146
4,177
4,156
4,167
4,158
4,159
4,164
4,174
4,148
4,178
4,172
4,416
4,179
4,184
4,424
4,829
4,786
4,783
4,828
4,788
4,111
4,160
4,147
4,116
4,119
4,126
4,132
4,138
4,133
4,150
4,141
4,144
4,134
4,139
4,140
4,171
4,142
4,163
4,417
4,418
4,422
4,420
4,423
4,782
4,428
4,161
4,413
4,425
4,722
4,157
4,764
4,789
4,837
4,780
4,821
4,797
4,813
4,825
4,765
4,766
4,787
4,818
4,792
4,832
4,757
4,767
4,803
4,798
4,778
4,872
4,841
4,811
4,844
4,774
4,785
4,791
4,810
4,793
4,830
4,836
4,796
4,800
5,104
5,121
5,128
5,109
5,124
5,112
5,105
5,153
5,114
5,108
5,166
5,175
5,406
5,412
5,189
5,415
5,454
5,429
5,478
5,438
5,433
5,861
5,403
5,430
5,441
5,436
5,440
5,407
5,426
5,443
5,442
5,464
5,453
5,458
5,754
5,720
5,858
5,745
5,859
5,762
5,456
5,476
5,748
5,728
5,741
5,742
5,749
5,427
5,759
5,435
5,724
5,753
5,758
5,434
5,855
5,744
5,452
5,747
5,756
5,729
5,795
5,852
5,779
5,746
5,777
5,781
5,820
5,843
5,860
5,743
5,815
5,845
5,851
6,219
6,253
6,338
6,241
6,377
6,231
6,257
6,249
6,251
6,252
6,254
6,272
6,226
6,329
6,360
6,234
6,354
6,372
6,345
6,351
6,233
6,333
6,280
6,256
6,238
6,318
6,229
6,356
6,244
6,353
6,232
6,363
6,282
6,284
6,364
6,230
6,235
6,340
6,388
6,371
6,263
6,347
6,291
6,237
6,316
6,343
6,236
6,259
6,271
6,266
6,277
6,278
6,365
6,243
6,269
6,276
6,275
6,239
6,242
6,264
6,270
6,281
6,283
6,261
6,292
6,288
6,294
6,246
6,268
6,265
6,255
6,286
6,274
6,285
6,258
6,273
6,262
7,240
7,248
7,298
7,279
7,346
7,260
7,296
7,290
7,302
7,304
7,267
7,289
7,337
7,334
7,293
7,297
7,328
7,299
7,301
7,309
7,473
7,369
7,484
7,331
7,370
7,367
7,384
7,389
7,287
7,579
7,599
7,306
7,326
7,308
7,330
7,591
7,601
7,604
7,626
7,631
7,637
7,327
7,664
7,647
7,656
7,635
7,641
7,651
7,649
7,668
7,332
7,374
7,366
7,596
7,589
7,600
7,603
7,595
7,636
7,548
7,666
7,659
7,661
7,672
7,667
7,674
7,607
7,663
7,657
7,660
7,658
7,662
8,300
8,310
8,349
8,303
8,305
8,315
8,314
8,592
8,633
8,593
8,627
8,630
8,632
8,313
8,323
8,602
8,469
8,494
8,319
8,344
8,324
8,622
8,457
8,609
8,538
8,615
8,608
8,996
8,1000
8,471
8,638
8,611
8,634
8,594
8,639
8,650
8,645
8,566
8,972
8,580
8,598
8,597
8,654
8,655
8,670
8,516
8,605
8,543
8,989
8,643
8,613
8,621
8,992
8,640
8,644
8,495
8,500
8,614
8,642
8,547
8,559
8,561
8,675
8,550
8,978
8,617
8,706
8,563
8,700
8,673
8,682
8,680
8,572
8,652
8,676
8,681
8,571
8,587
8,686
8,576
8,671
8,585
8,669
8,678
8,679
8,509
8,513
8,514
8,688
8,581
8,518
8,519
8,567
8,573
8,517
8,562
8,683
8,588
8,684
8,693
8,565
8,995
8,569
8,575
9,390
9,616
9,618
9,976
9,493
9,620
9,496
9,497
9,462
9,489
9,988
9,606
9,990
9,481
9,485
9,980
9,692
9,499
9,997
9,625
9,628
9,482
9,610
9,986
9,504
9,994
9,984
9,505
9,555
9,981
9,975
9,542
9,545
9,498
9,646
9,558
9,702
9,502
9,590
9,629
9,993
9,998
9,568
9,570
9,574
9,982
9,685
9,665
9,503
9,511
9,653
9,556
9,648
9,523
9,560
9,704
9,506
9,549
9,512
9,551
9,536
9,691
9,623
9,515
9,699
9,703
9,687
9,933
9,934
9,546
9,553
9,923
9,583
9,936
9,510
9,564
9,522
9,586
9,697
9,690
9,520
9,932
9,582
9,701
9,521
9,557
9,533
9,578
9,534
9,937
10,507
10,539
10,531
10,554
10,524
10,532
10,991
10,527
10,695
10,917
10,525
10,540
10,952
10,968
10,689
10,714
10,715
10,705
10,979
10,761
10,888
10,969
10,898
10,950
10,926
10,508
10,577
10,619
10,738
10,535
10,930
10,677
10,696
10,530
10,971
10,719
10,967
10,999
10,526
10,736
10,537
10,891
10,528
10,925
10,901
10,922
10,541
10,931
10,938
10,949
10,948
10,939
10,945
10,942
10,947
10,612
10,733
10,725
10,752
10,862
10,880
10,734
10,910
10,903
10,770
10,964
10,735
10,921
10,889
10,894
10,918
10,924
10,882
10,884
10,896
10,902
10,957
10,755
10,874
10,919
10,876
10,879
10,886
10,878
10,895
10,966
10,890
10,893
10,899
10,906
10,909
10,911
10,907
10,954
10,914
10,915
10,913
10,941
10,929
10,943
10,897
10,916
10,908
10,912
10,927
10,953
10,951
10,955
10,960
10,904
10,958
10,944
10,961
10,920
10,928
10,963
10,935
10,946
10,940
10,962
11,552
11,814
11,794
11,809
11,775
11,790
11,827
11,822
11,773
11,826
11,838
11,772
11,863
11,812
11,819
11,799
11,834
11,840
11,718
11,731
11,854
11,776
11,846
11,760
11,871
11,816
11,881
11,721
11,784
11,853
11,723
11,763
11,831
11,768
11,769
11,848
11,771
11,850
11,857
11,864
11,868
11,867
11,883
11,885
11,887
11,892
11,801
11,833
11,847
11,875
11,866
11,808
11,823
11,856
11,865
11,965
11,877
11,956
11,900
11,905
11,802
11,804
11,805
11,835
11,807
11,849
11,806
11,870
11,817
11,824
11,873
11,839
11,842
11,869
