区域1,区域2,长度
1,2,449
2,1,449
1,3,104
3,1,104
1,4,637
4,1,637
1,5,103
5,1,103
1,6,203
6,1,203
1,7,545
7,1,545
1,8,353
8,1,353
1,9,212
9,1,212
1,10,101
10,1,101
1,11,467
11,1,467
1,12,284
12,1,284
1,13,675
13,1,675
1,14,190
14,1,190
1,15,151
15,1,151
1,16,191
16,1,191
1,17,321
17,1,321
1,18,582
18,1,582
1,19,428
19,1,428
1,20,282
20,1,282
1,21,365
21,1,365
1,22,207
22,1,207
1,23,671
23,1,671
1,24,292
24,1,292
1,25,552
25,1,552
1,26,261
26,1,261
1,27,386
27,1,386
1,28,494
28,1,494
1,29,289
29,1,289
1,30,299
30,1,299
1,31,354
31,1,354
1,32,420
32,1,420
1,33,658
33,1,658
1,34,376
34,1,376
1,35,595
35,1,595
1,36,385
36,1,385
1,37,526
37,1,526
1,38,388
38,1,388
1,39,404
39,1,404
1,40,780
40,1,780
1,41,478
41,1,478
1,42,473
42,1,473
1,43,702
43,1,702
1,44,630
44,1,630
1,45,471
45,1,471
1,46,575
46,1,575
1,47,493
47,1,493
1,48,488
48,1,488
1,49,527
49,1,527
1,50,792
50,1,792
1,51,722
51,1,722
1,52,568
52,1,568
1,53,607
53,1,607
1,54,572
54,1,572
1,55,572
55,1,572
1,56,684
56,1,684
1,57,616
57,1,616
1,58,824
58,1,824
1,59,891
59,1,891
1,60,628
60,1,628
1,61,786
61,1,786
1,62,701
62,1,701
1,63,657
63,1,657
1,64,686
64,1,686
1,65,719
65,1,719
1,66,725
66,1,725
1,67,888
67,1,888
1,68,788
68,1,788
1,69,699
69,1,699
1,70,882
70,1,882
1,71,778
71,1,778
1,72,981
72,1,981
1,73,763
73,1,763
1,74,781
74,1,781
1,75,855
75,1,855
1,76,814
76,1,814
1,77,973
77,1,973
1,78,832
78,1,832
1,79,831
79,1,831
2,3,553
3,2,553
2,4,188
4,2,188
2,5,354
5,2,354
2,6,258
6,2,258
2,7,112
7,2,112
2,8,117
8,2,117
2,9,652
9,2,652
2,10,442
10,2,442
2,11,109
11,2,109
2,12,218
12,2,218
2,13,245
13,2,245
2,14,601
14,2,601
2,15,521
15,2,521
2,16,355
16,2,355
2,17,741
17,2,741
2,18,191
18,2,191
2,19,180
19,2,180
2,20,321
20,2,321
2,21,244
21,2,244
2,22,463
22,2,463
2,23,286
23,2,286
2,24,672
24,2,672
2,25,232
25,2,232
2,26,590
26,2,590
2,27,771
27,2,771
2,28,275
28,2,275
2,29,447
29,2,447
2,30,545
30,2,545
2,31,396
31,2,396
2,32,338
32,2,338
2,33,340
33,2,340
2,34,704
34,2,704
2,35,350
35,2,350
2,36,649
36,2,649
2,37,384
37,2,384
2,38,567
38,2,567
2,39,495
39,2,495
2,40,459
40,2,459
2,41,788
41,2,788
2,42,454
42,2,454
2,43,438
43,2,438
2,44,449
44,2,449
2,45,662
45,2,662
2,46,488
46,2,488
2,47,743
47,2,743
2,48,599
48,2,599
2,49,564
49,2,564
2,50,536
50,2,536
2,51,527
51,2,527
2,52,852
52,2,852
2,53,583
53,2,583
2,54,766
54,2,766
2,55,697
55,2,697
2,56,567
56,2,567
2,57,854
57,2,854
2,58,615
58,2,615
2,59,640
59,2,640
2,60,680
60,2,680
2,61,637
61,2,637
2,62,650
62,2,650
2,63,802
63,2,802
2,64,880
64,2,880
2,65,961
65,2,961
2,66,726
66,2,726
2,67,703
67,2,703
2,68,701
68,2,701
2,69,787
69,2,787
2,70,757
70,2,757
2,71,821
71,2,821
2,72,769
72,2,769
2,73,894
73,2,894
2,74,961
74,2,961
2,75,789
75,2,789
2,76,1033
76,2,1033
2,77,808
77,2,808
2,78,819
78,2,819
2,79,914
79,2,914
3,4,741
4,3,741
3,5,203
5,3,203
3,6,304
6,3,304
3,7,648
7,3,648
3,8,454
8,3,454
3,9,115
9,3,115
3,10,152
10,3,152
3,11,566
11,3,566
3,12,379
12,3,379
3,13,776
13,3,776
3,14,127
14,3,127
3,15,142
15,3,142
3,16,266
16,3,266
3,17,232
17,3,232
3,18,681
18,3,681
3,19,522
19,3,522
3,20,358
20,3,358
3,21,452
21,3,452
3,22,239
22,3,239
3,23,767
23,3,767
3,24,232
24,3,232
3,25,645
25,3,645
3,26,237
26,3,237
3,27,314
27,3,314
3,28,580
28,3,580
3,29,331
29,3,331
3,30,305
30,3,305
3,31,412
31,3,412
3,32,493
32,3,493
3,33,747
33,3,747
3,34,333
34,3,333
3,35,677
35,3,677
3,36,368
36,3,368
3,37,597
37,3,597
3,38,401
38,3,401
3,39,441
39,3,441
3,40,866
40,3,866
3,41,433
41,3,433
3,42,527
42,3,527
3,43,782
43,3,782
3,44,700
44,3,700
3,45,470
45,3,470
3,46,633
46,3,633
3,47,469
47,3,469
3,48,509
48,3,509
3,49,562
49,3,562
3,50,868
50,3,868
3,51,791
51,3,791
3,52,526
52,3,526
3,53,650
53,3,650
3,54,560
54,3,560
3,55,581
55,3,581
3,56,741
56,3,741
3,57,587
57,3,587
3,58,891
58,3,891
3,59,964
59,3,964
3,60,652
60,3,652
3,61,844
61,3,844
3,62,744
62,3,744
3,63,654
63,3,654
3,64,668
64,3,668
3,65,684
65,3,684
3,66,755
66,3,755
3,67,949
67,3,949
3,68,833
68,3,833
3,69,709
69,3,709
3,70,932
70,3,932
3,71,795
71,3,795
3,72,1044
72,3,1044
3,73,759
73,3,759
3,74,762
74,3,762
3,75,893
75,3,893
3,76,782
76,3,782
3,77,1029
77,3,1029
3,78,860
78,3,860
3,79,836
79,3,836
4,5,539
5,4,539
4,6,440
6,4,440
4,7,102
7,4,102
4,8,290
8,4,290
4,9,837
9,4,837
4,10,622
10,4,622
4,11,201
11,4,201
4,12,385
12,4,385
4,13,98
13,4,98
4,14,781
14,4,781
4,15,699
15,4,699
4,16,526
16,4,526
4,17,920
17,4,920
4,18,152
18,4,152
4,19,285
19,4,285
4,20,472
20,4,472
4,21,373
21,4,373
4,22,629
22,4,629
4,23,194
23,4,194
4,24,844
24,4,844
4,25,241
25,4,241
4,26,757
26,4,757
4,27,941
27,4,941
4,28,335
28,4,335
4,29,596
29,4,596
4,30,699
30,4,699
4,31,524
31,4,524
4,32,440
32,4,440
4,33,296
33,4,296
