«¯”Ú1,«¯”Ú2,æ‡¿Î
1,3,69540
3,1,69540
1,9,59231
9,1,59231
1,10,40839
10,1,40839
1,14,33419
14,1,33419
1,15,20793
15,1,20793
1,17,15264
17,1,15264
1,22,17287
22,1,17287
1,24,54291
24,1,54291
1,26,33387
26,1,33387
1,27,57540
27,1,57540
1,29,50027
29,1,50027
1,30,59357
30,1,59357
1,31,31447
31,1,31447
1,34,56572
34,1,56572
1,36,38262
36,1,38262
1,39,40630
39,1,40630
1,38,225409
38,1,225409
1,41,307922
41,1,307922
1,45,317872
45,1,317872
1,47,257128
47,1,257128
1,48,350433
48,1,350433
1,52,313063
52,1,313063
1,54,229252
54,1,229252
1,55,363399
55,1,363399
1,57,314717
57,1,314717
1,60,273066
60,1,273066
1,63,334252
63,1,334252
1,64,364152
64,1,364152
1,65,273081
65,1,273081
1,66,193399
66,1,193399
1,69,320187
69,1,320187
1,71,248936
71,1,248936
1,73,366600
73,1,366600
1,74,344043
74,1,344043
1,76,226949
76,1,226949
1,78,345703
78,1,345703
1,79,352834
79,1,352834
1,2,355122
2,1,355122
1,4,411737
4,1,411737
1,5,421131
5,1,421131
1,6,392042
6,1,392042
1,7,342055
7,1,342055
1,8,370692
8,1,370692
1,11,431204
11,1,431204
1,12,345129
12,1,345129
1,13,325497
13,1,325497
1,16,294107
16,1,294107
1,18,459600
18,1,459600
1,19,386444
19,1,386444
1,20,469673
20,1,469673
1,21,484086
21,1,484086
1,23,488879
23,1,488879
1,25,446192
25,1,446192
1,28,439597
28,1,439597
1,32,358515
32,1,358515
1,33,318847
33,1,318847
1,35,464316
35,1,464316
1,37,448036
37,1,448036
1,40,472857
40,1,472857
1,42,482131
42,1,482131
1,43,512231
43,1,512231
1,44,447891
44,1,447891
1,46,468809
46,1,468809
1,49,485999
49,1,485999
1,50,483510
50,1,483510
1,51,433708
51,1,433708
1,53,434265
53,1,434265
1,56,465284
56,1,465284
1,58,456487
58,1,456487
1,59,464327
59,1,464327
1,61,459558
61,1,459558
1,62,397048
62,1,397048
1,67,465740
67,1,465740
1,68,449037
68,1,449037
1,70,468465
70,1,468465
1,72,462989
72,1,462989
1,75,459812
75,1,459812
1,77,462540
77,1,462540
3,9,75899
9,3,75899
3,10,50545
10,3,50545
3,14,79202
14,3,79202
3,15,82092
15,3,82092
3,17,61011
17,3,61011
3,22,53118
22,3,53118
3,24,105053
24,3,105053
3,26,92224
26,3,92224
3,27,104386
27,3,104386
3,29,104417
29,3,104417
3,30,99648
30,3,99648
3,31,94580
31,3,94580
3,34,102308
34,3,102308
3,36,93791
36,3,93791
3,39,85540
39,3,85540
3,38,285490
38,3,285490
3,41,344264
41,3,344264
3,45,338391
45,3,338391
3,47,309290
47,3,309290
3,48,383025
48,3,383025
3,52,352594
52,3,352594
3,54,285121
54,3,285121
3,55,403820
55,3,403820
3,57,349982
57,3,349982
3,60,310648
60,3,310648
3,63,371290
63,3,371290
3,64,397395
64,3,397395
3,65,318158
65,3,318158
3,66,247662
66,3,247662
3,69,354841
69,3,354841
3,71,292366
71,3,292366
3,73,406300
73,3,406300
3,74,377731
74,3,377731
3,76,281675
76,3,281675
3,78,382912
78,3,382912
3,79,390258
79,3,390258
3,2,370928
2,3,370928
3,4,436376
4,3,436376
3,5,445861
5,3,445861
3,6,421708
6,3,421708
3,7,378428
7,3,378428
3,8,382524
8,3,382524
3,11,451511
11,3,451511
3,12,368564
12,3,368564
3,13,350408
13,3,350408
3,16,305091
16,3,305091
3,18,481333
18,3,481333
3,19,413593
19,3,413593
3,20,487834
20,3,487834
3,21,503096
21,3,503096
3,23,511041
23,3,511041
3,25,452589
25,3,452589
3,28,472526
28,3,472526
3,32,378393
32,3,378393
3,33,338469
33,3,338469
3,35,452840
35,3,452840
3,37,428618
37,3,428618
3,40,489478
40,3,489478
3,42,464178
42,3,464178
3,43,507062
43,3,507062
3,44,472566
44,3,472566
3,46,463859
46,3,463859
3,49,513223
49,3,513223
3,50,515064
50,3,515064
3,51,477319
51,3,477319
3,53,445892
53,3,445892
3,56,486125
56,3,486125
3,58,496101
58,3,496101
3,59,497092
59,3,497092
3,61,508371
61,3,508371
3,62,385814
62,3,385814
3,67,507582
67,3,507582
3,68,475832
68,3,475832
3,70,448586
70,3,448586
3,72,456136
72,3,456136
3,75,499757
75,3,499757
3,77,509893
77,3,509893
9,10,67799
10,9,67799
9,14,67660
14,9,67660
9,15,56876
15,9,56876
9,17,29082
17,9,29082
9,22,45317
22,9,45317
9,24,89959
24,9,89959
9,26,65909
26,9,65909
9,27,94842
27,9,94842
9,29,86108
29,9,86108
9,30,94270
30,9,94270
9,31,75125
31,9,75125
9,34,94563
34,9,94563
9,36,71046
36,9,71046
9,39,68918
39,9,68918
9,38,251077
38,9,251077
9,41,286099
41,9,286099
9,45,299206
45,9,299206
9,47,294815
47,9,294815
9,48,333074
48,9,333074
9,52,303467
52,9,303467
9,54,227168
54,9,227168
9,55,349609
55,9,349609
9,57,298857
57,9,298857
9,60,244808
60,9,244808
9,63,311995
63,9,311995
9,64,348999
64,9,348999
9,65,271945
65,9,271945
9,66,271730
66,9,271730
9,69,304711
69,9,304711
9,71,245835
71,9,245835
9,73,351604
73,9,351604
9,74,333440
74,9,333440
9,76,247591
76,9,247591
9,78,324554
78,9,324554
9,79,341879
79,9,341879
9,2,349934
2,9,349934
9,4,412417
4,9,412417
9,5,413777
5,9,413777
9,6,412597
6,9,412597
9,7,330363
7,9,330363
9,8,355486
8,9,355486
9,11,439862
11,9,439862
9,12,348890
12,9,348890
9,13,308835
13,9,308835
9,16,290976
16,9,290976
9,18,462092
18,9,462092
9,19,395940
19,9,395940
9,20,479452
20,9,479452
9,21,482455
21,9,482455
9,23,488945
23,9,488945
9,25,416955
25,9,416955
9,28,464200
28,9,464200
9,32,383516
32,9,383516
9,33,311004
33,9,311004
9,35,407183
35,9,407183
9,37,400859
37,9,400859
9,40,437461
40,9,437461
9,42,418145
42,9,418145
9,43,448141
43,9,448141
9,44,434344
44,9,434344
9,46,428773
46,9,428773
9,49,447468
49,9,447468
9,50,425770
50,9,425770
9,51,351266
51,9,351266
9,53,414416
53,9,414416
9,56,430365
56,9,430365
9,58,428112
58,9,428112
9,59,423939
59,9,423939
9,61,445805
61,9,445805
9,62,346324
62,9,346324
9,67,452543
67,9,452543
9,68,409076
68,9,409076
9,70,410193
70,9,410193
9,72,423426
72,9,423426
