region_id,POINT_X,POINT_Y
1,5827.1647,3018.7198
2,12893.9981,7510.0081
3,11181.7372,7961.6129
4,12854.1299,3382.9715
5,11870.5887,12373.7772
6,11841.9896,1070.4991
7,11271.9861,10573.6805
8,11982.7075,4840.3719
9,10590.0798,6726.8959
10,9796.1632,10264.9876
11,10531.5619,13391.5174
12,12391.3922,6916.8176
13,12706.5911,5978.2069
14,13470.3563,7028.5022
15,10967.523,12593.5869
16,11075.0436,14782.2026
17,11406.6133,7058.4931
18,10089.842,12737.454
19,6595.4043,10802.8123
20,7928.3461,4273.5856
21,6138.1376,6349.9543
22,12532.4274,13661.6921
23,11172.8022,13932.9261
24,11881.9774,14138.6336
25,8493.6986,12691.3057
26,10235.0687,14109.2298
27,11903.8934,9414.5445
28,7322.1053,13695.3784
29,10468.0463,11892.8081
30,9376.7575,13136.3854
31,8605.9271,15518.1794
32,9156.9605,9607.9902
33,4566.3635,16847.8694
34,10285.7573,14930.4075
35,6330.4722,16191.8848
36,3993.5319,16129.7519
37,5534.9575,16659.0179
38,7764.1838,15100.323
39,9467.1359,13918.9973
40,8538.9438,14367.0208
41,5621.1204,15706.3078
42,9548.3214,15346.3419
43,3637.4967,15474.2651
44,6774.8839,15621.3403
45,4975.7203,14117.6083
46,6574.0372,13117.2136
47,4015.2467,13848.3094
48,6089.1787,12549.4399
49,4312.5924,14691.7064
50,9727.2781,8929.9543
51,8556.4578,13536.1145
52,6575.4347,14013.7608
53,7588.4427,15774.279
54,7790.5331,14344.353
55,11607.7481,13096.6183
56,7816.9701,13133.2354
57,9195.7896,14730.1026
58,5454.6214,13158.8183
59,9613.652,12110.4506
60,6933.6051,14719.7498
61,5857.5706,13928.9293
62,6129.5804,15004.2074
63,4727.9467,15366.4039
64,8928.9738,11294.3488
65,10770.6966,11246.901
66,11955.86,10451.0378
67,12017.1592,7792.3314
68,12506.7841,9853.2027
69,10479.7363,10493.5827
70,4713.1396,13357.8933
71,11065.0091,9695.986
72,10426.1411,7605.2285
73,8080.5059,11387.6682
74,10264.9814,9496.5337
75,5315.2334,12266.4859
76,8825.5647,12113.3219
77,9886.8247,6753.52
78,11037.9442,8861.6497
79,8051.4078,10051.3996
80,9743.998,11213.5269
81,7241.4837,12519.3466
82,7372.5285,9249.3887
83,11526.185,11590.8238
84,5382.5856,14761.2938
85,4298.617,12359.1791
86,4891.3388,16151.4107
87,6568.8634,11885.2556
88,7260.6771,8174.3816
89,5836.8769,11501.6449
90,9324.6735,8188.7893
91,9031.3138,10436.1622
92,8003.2134,8453.6341
93,4924.3284,11566.2388
94,10295.9164,8371.3281
95,5769.5403,10662.1329
96,7222.9063,10123.529
97,6439.0696,9956.6494
98,3520.0322,14647.0117
99,4962.6402,10775.3195
100,7155.6452,11203.1611
101,7678.9539,11944.3983
102,8101.9022,10705.3721
103,6039.7007,8427.0236
104,3596.6303,11082.5374
105,3936.798,8935.4225
106,6763.366,8825.783
107,8223.4313,6078.8319
108,3114.6732,8864.7468
109,4889.9821,9331.5248
110,9600.8168,2370.5433
111,1637.9917,9439.7489
112,5215.1527,8615.9036
113,9462.4789,7404.4889
114,4419.2227,8377.1537
115,7262.9885,5944.1995
116,2458.0339,9327.4433
117,6013.9797,7324.6395
118,4146.288,11511.7897
119,1995.4957,10273.4217
120,3055.3033,6793.5228
121,3384.9617,12102.6441
122,2759.434,13223.2758
123,4500.5328,10289.6451
124,3959.1448,9633.8853
